# x, y, z, vx, vy, 0_x, 0_y, 1_x, 1_y
-2.894737,-2.368421,0.000000,1.206275,0.484664,0.000000,0.000000,0.596576,0.091788
-2.894737,-1.842105,0.000000,1.240824,0.387757,0.000000,0.000000,0.653042,-0.032708
-2.894737,-1.315789,0.000000,1.268776,0.283209,0.000000,0.000000,0.637567,-0.168373
-2.894737,-0.789474,0.000000,1.288496,0.172566,0.098119,0.713105,0.551906,-0.285292
-2.894737,-0.263158,0.000000,1.298706,0.057978,0.271056,0.418134,0.419759,-0.365016
-2.894737,0.263158,0.000000,1.298706,-0.057978,0.419759,0.365016,0.271056,-0.418134
-2.894737,0.789474,0.000000,1.288496,-0.172566,0.551906,0.285292,0.098119,-0.713105
-2.894737,1.315789,0.000000,1.268776,-0.283209,0.637567,0.168373,0.000000,0.000000
-2.894737,1.842105,0.000000,1.240824,-0.387757,0.653042,0.032708,0.000000,0.000000
-2.894737,2.368421,0.000000,1.206275,-0.484664,0.596576,-0.091788,0.000000,0.000000
-2.894737,2.894737,0.000000,1.166893,-0.573028,0.489313,-0.180893,0.000000,0.000000
-2.894737,3.421053,0.000000,1.124366,-0.652534,0.362366,-0.226502,0.000000,0.000000
-2.894737,3.947368,0.000000,1.080179,-0.723334,0.241845,-0.235506,0.000000,0.000000
-2.894737,4.473684,0.000000,1.035545,-0.785905,0.141431,-0.222431,0.000000,0.000000
-2.894737,5.000000,0.000000,0.991394,-0.840915,0.061781,-0.205320,0.000000,0.000000
-2.368421,-5.000000,0.000000,0.951302,0.886016,0.000000,0.000000,0.065180,0.292335
-2.368421,-4.473684,0.000000,0.998688,0.832240,0.000000,0.000000,0.187816,0.335818
-2.368421,-3.947368,0.000000,1.047346,0.770108,0.000000,0.000000,0.357491,0.382938
-2.368421,-3.421053,0.000000,1.096317,0.698633,0.000000,0.000000,0.583202,0.398740
-2.368421,-2.894737,0.000000,1.144252,0.616999,0.000000,0.000000,0.845452,0.346846
-2.368421,-2.368421,0.000000,1.189393,0.524732,0.000000,0.000000,1.087480,0.200263
-2.368421,-1.842105,0.000000,1.229624,0.421930,0.000000,0.000000,1.226898,-0.032557
-2.368421,-1.315789,0.000000,1.262628,0.309468,0.000000,0.000000,1.200536,-0.294968
-2.368421,-0.789474,0.000000,1.286167,0.189142,0.128785,1.114384,1.011928,-0.509464
-2.368421,-0.263158,0.000000,1.298441,0.063649,0.436226,0.678956,0.729949,-0.630006
-2.368421,0.263158,0.000000,1.298441,-0.063649,0.729949,0.630006,0.436226,-0.678956
-2.368421,0.789474,0.000000,1.286167,-0.189142,1.011928,0.509464,0.128785,-1.114384
